,StopNum,RouteNum,PollTime,TimeToNext,TimeTo2nd
105,8766,9,25,-100,-100
106,8766,9,25,-100,-100
107,8766,9,25,-100,-100
108,8766,9,25,-100,-100
109,8766,9,25,-100,-100
110,8766,9,25,-100,-100
111,8766,9,25,-100,-100
112,8766,9,25,-100,-100
113,8766,9,25,-100,-100
114,8766,9,25,-100,-100
115,8766,9,25,-100,-100
116,8766,9,25,-100,-100
117,8766,9,25,-100,-100
118,8766,9,25,-100,-100
119,8766,9,25,-100,-100
120,8766,9,25,-100,-100
121,8766,9,25,-100,-100
122,8766,9,25,-100,-100
123,8766,9,25,-100,-100
124,8766,9,25,-100,-100
125,8766,9,25,-100,-100
126,8766,9,25,-100,-100
127,8766,9,25,-100,-100
128,8766,9,25,-100,-100
129,8766,9,25,-100,-100
130,8766,9,25,-100,-100
131,8766,9,25,-100,-100
132,8766,9,25,-100,-100
133,8766,9,25,-100,-100
134,8766,9,25,-100,-100
135,8766,9,25,-100,-100
136,8766,9,25,-100,-100
137,8766,9,25,-100,-100
138,8766,9,25,-100,-100
139,8766,9,25,-100,-100
140,8766,9,25,-100,-100
141,8766,9,25,-100,-100
142,8766,9,25,-100,-100
143,8766,9,25,-100,-100
144,8766,9,25,-100,-100
145,8766,9,25,-100,-100
146,8766,9,25,-100,-100
147,8766,9,25,-100,-100
148,8766,9,25,-100,-100
149,8766,9,25,-100,-100
150,8766,9,25,-100,-100
151,8766,9,25,-100,-100
152,8766,9,25,-100,-100
153,8766,9,25,-100,-100
154,8766,9,25,-100,-100
155,8766,9,25,-100,-100
156,8766,9,25,-100,-100
157,8766,9,25,-100,-100
158,8766,9,25,-100,-100
159,8766,9,25,-100,-100
160,8766,9,25,-100,-100
161,8766,9,25,-100,-100
162,8766,9,25,-100,-100
163,8766,9,25,-100,-100
164,8766,9,25,-100,-100
165,8766,9,25,-100,-100
166,8766,9,25,-100,-100
167,8766,9,25,-100,-100
168,8766,9,25,-100,-100
169,8766,9,25,-100,-100
170,8766,9,25,-100,-100
171,8766,9,25,-100,-100
172,8766,9,25,-100,-100
173,8766,9,25,-100,-100
174,8766,9,25,-100,-100
175,8766,9,25,-100,-100
176,8766,9,25,-100,-100
177,8766,9,25,-100,-100
178,8766,9,25,-100,-100
179,8766,9,25,-100,-100
180,8766,9,25,-100,-100
181,8766,9,25,-100,-100
182,8766,9,25,-100,-100
183,8766,9,25,-100,-100
184,8766,9,25,-100,-100
185,8766,9,25,-100,-100
186,8766,9,25,-100,-100
187,8766,9,25,-100,-100
188,8766,9,25,-100,-100
189,8766,9,25,-100,-100
190,8766,9,25,-100,-100
191,8766,9,25,-100,-100
192,8766,9,25,-100,-100
193,8766,9,25,-100,-100
